fid,DN,area,fid_2,SIG_CD,KOR_PAR_NM,PARK_SN,면적(m^2,x,y,ADM_DR_NM
63600,"3","22592",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63603,"2","10296",12760,"11500",능말공원,46.000000000000000,"1520",126.810607385300003,37.577972405899999,방화3동
63603,"2","10296",12759,"11500",느티공원,45.000000000000000,"1512",126.810313024999999,37.579387698600001,방화3동
63610,"0","65077",12717,"11500",메아리공원,9.000000000000000,"1510",126.814378767600004,37.578610499000000,방화3동
63610,"0","65077",12716,"11500",개화공원,8.000000000000000,"1511",126.812543625600000,37.580280376700003,방화3동
63616,"1","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63617,"2","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63810,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63811,"2","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
63968,"4","2099",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64137,"1","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64138,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64139,"3","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64318,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64319,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64320,"3","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64321,"6","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64487,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64488,"3","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64489,"9","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64663,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64664,"4","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64665,"10","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64836,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64837,"3","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64838,"7","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
64987,"5","7297",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65028,"2","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65029,"4","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65219,"1","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65220,"3","100",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65399,"2","200",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65766,"1","400",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65767,"3","300",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
65812,"2","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
65999,"10","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66197,"6","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66198,"13","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66374,"2","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66375,"10","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66376,"12","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
66513,"4","1899",12718,"11500",내촌공원,10.000000000000000,"1220",126.801407638300006,37.577570514000001,방화2동
66587,"2","27990",12717,"11500",메아리공원,9.000000000000000,"1510",126.814378767600004,37.578610499000000,방화3동
66590,"4","100",12761,"11500",돌샘공원,47.000000000000000,"1499",126.818933572500001,37.576082730400003,방화3동
