건물용도코드,읍면동코드,지상층수,고시일자,도로구간시군구코드,도로명코드,시군구코드,지하층수
10202,103,11,2019-05-15,11500,4145443,11500,1
2003,103,8,2019-05-15,11500,3115001,11500,1
2005,102,15,2011-07-29,11500,4145199,11500,0
10299,105,13,2017-05-24,11500,2005007,11500,5
4999,103,5,2017-05-24,11500,4145027,11500,1
10204,105,11,2016-12-14,11500,2005007,11500,5
10299,105,13,2018-04-18,11500,2005007,11500,5
2001,108,8,2019-11-20,11500,3115006,11500,2
1001,103,3,2019-11-20,11500,4145125,11500,1
2003,102,6,2022-09-21,11500,4145195,11500,2
2003,103,6,2018-12-12,11500,4145019,11500,0
1003,103,4,2018-12-12,11500,4145516,11500,0
2003,102,5,2022-09-21,11500,4145195,11500,1
2003,103,6,2022-08-24,11500,4145494,11500,0
2003,103,6,2022-08-24,11500,4145009,11500,0
2003,103,6,2022-08-24,11500,4145536,11500,0
2003,103,6,2022-09-21,11500,3005067,11500,1
2003,103,6,2020-09-16,11500,4145446,11500,0
2003,103,7,2020-09-16,11500,4145037,11500,1
8001,105,7,2018-03-14,11500,3155055,11500,5
2003,103,5,2018-03-14,11500,4145253,11500,0
10204,105,11,2018-12-05,11500,3155054,11500,4
1001,103,4,2018-12-05,11500,4145498,11500,0
1001,103,4,2018-12-05,11500,4145509,11500,0
2003,102,6,2017-09-20,11500,4145198,11500,0
3999,105,5,2020-03-18,11500,4145561,11500,3
1002,103,4,2020-03-04,11500,4145071,11500,1
1002,103,4,2022-09-21,11500,4145044,11500,1
16001,113,1,2022-03-23,11500,3000015,11500,0
2003,103,6,2017-03-15,11500,4145459,11500,0
2003,102,6,2017-03-15,11500,4145290,11500,0
2003,102,5,2017-03-15,11500,4145290,11500,0
13100,102,12,2021-11-17,11500,3115008,11500,5
2003,103,6,2021-11-17,11500,4145156,11500,0
2003,108,6,2021-11-17,11500,4145378,11500,0
10202,103,12,2020-10-07,11500,4145444,11500,1
2003,103,6,2020-10-07,11500,4145011,11500,0
3001,110,2,2020-10-07,11500,4145095,11500,1
3005,105,5,2019-04-03,11500,3155053,11500,6
10204,105,10,2019-04-03,11500,3155045,11500,3
10202,103,12,2019-03-13,11500,4145443,11500,0
1002,108,3,2019-03-13,11500,4145194,11500,0
8004,105,8,2022-11-09,11500,3155052,11500,2
10202,103,13,2022-11-09,11500,4145444,11500,1
2001,103,13,2021-11-17,11500,4145080,11500,2
2003,102,5,2022-08-03,11500,4145192,11500,0
10202,105,14,2016-12-14,11500,3155045,11500,6
10204,108,7,2016-12-14,11500,2005007,11500,1
3005,103,5,2016-12-14,11500,4145005,11500,1
3012,104,1,2018-04-11,11500,3115013,11500,0
3012,104,1,2018-04-11,11500,4145413,11500,0
90001,103,1,2019-10-23,11500,3005069,11500,0
1002,102,1,2020-02-26,11500,4145300,11500,0
2003,103,5,2020-02-26,11500,4145129,11500,0
3012,103,1,2018-04-18,11500,4145432,11500,0
3012,103,1,2018-04-18,11500,4145432,11500,0
3012,106,1,2018-04-18,11500,4145432,11500,0
2003,102,9,2017-03-02,11500,4145318,11500,1
2003,103,6,2017-03-02,11500,4145494,11500,0
2003,103,4,2017-03-02,11500,4145525,11500,1
8004,105,10,2022-11-09,11500,3155056,11500,3
2003,109,6,2022-11-09,11500,3115008,11500,1
14999,102,1,2021-08-11,11500,4145076,11500,0
4402,103,9,2021-08-11,11500,3005069,11500,1
10202,103,19,2021-08-11,11500,3005069,11500,1
2003,109,7,2017-05-31,11500,4145488,11500,0
1002,109,3,2018-09-12,11500,4145389,11500,1
8103,105,4,2018-09-12,11500,4145332,11500,0
8103,105,3,2018-09-12,11500,4145332,11500,0
2003,102,6,2019-12-26,11500,4145206,11500,0
1002,108,4,2019-12-26,11500,4145360,11500,0
2003,103,6,2022-11-23,11500,4145258,11500,1
1002,108,3,2018-12-12,11500,4145285,11500,1
2001,103,12,2018-10-04,11500,4145080,11500,1
2003,103,5,2018-10-04,11500,4145265,11500,0
2003,103,6,2020-07-22,11500,4145528,11500,1
2003,109,6,2020-07-22,11500,4145404,11500,1
2003,109,5,2018-03-07,11500,3115002,11500,0
8004,105,8,2022-03-30,11500,3155045,11500,2
4002,109,3,2022-03-30,11500,3000011,11500,0
1003,108,4,2022-11-09,11500,4145279,11500,0
18003,110,1,2021-05-26,11500,4145241,11500,0
18003,110,1,2021-05-26,11500,4145241,11500,0
18003,110,2,2021-05-26,11500,4145241,11500,0
18003,110,2,2021-05-26,11500,4145241,11500,0
10204,109,1,2021-05-26,11500,4145401,11500,0
2003,103,4,2021-07-14,11500,4145463,11500,1
2003,103,6,2021-06-02,11500,4145446,11500,0
6306,108,2,2021-06-02,11500,4145490,11500,0
2003,101,6,2018-09-12,11500,4145427,11500,0
