ARS-ID,정류소명,x,y
"16249",염창동한마음.관음삼성아파트,126.8696521378,37.5529893540
"16250",염창동관음삼성아파트,126.8694176447,37.5529809453
"16251",태영.삼성한사랑아파트,126.8655299774,37.5551220540
"16252",금호.한솔아파트,126.8654226456,37.5553981977
"16253",블루나인비지니스센터.이마트,126.8638111938,37.5563245552
"16254",블루나인비지니스센터.이마트,126.8638819807,37.5564662248
"16255",이마트.강서소방서,126.8617151725,37.5576032293
"16256",강서소방서.이마트.증미역,126.8618472460,37.5573766585
"16257",가양역.현대프린스텔,126.8564329524,37.5603165481
"16258",가양역.현대아파트,126.8565633389,37.5603875036
"16259",가양역.우성아파트,126.8540536427,37.5615467300
"16260",가양역.우성아파트,126.8533368738,37.5620959512
"16261",SBS공개홀,126.8507594114,37.5634401098
"16262",SBS공개홀,126.8499073780,37.5637280331
"16263",가양4.5단지상가앞,126.8526188131,37.5640889741
"16264",서울서진학교,126.8500667543,37.5660786816
"16265",등촌동대림아파트,126.8484744595,37.5644970850
"16266",강서한강자이아파트,126.8478593580,37.5650010710
"16267",가양동CJ주식회사,126.8447130330,37.5666574325
"16268",가양동CJ주식회사,126.8438190587,37.5669814546
"16269",양천초등학교.겸재정선미술관,126.8402988602,37.5690175691
"16270",양천초등학교.겸재정선미술관,126.8401001514,37.5689709346
"16271",겸재정선미술관.서울식물원,126.8382222972,37.5699787883
"16272",겸재정선미술관.서울식물원,126.8372140842,37.5706820215
"16273",마곡실내배드민턴장,126.8300647420,37.5726500360
"16274",마곡실내배드민턴장,126.8312059646,37.5727190345
"16275",서남물재생센터,126.8279033264,37.5729212841
"16276",서남물재생센터,126.8273036882,37.5727599538
"16277",서남환경공원.마곡청구아파트,126.8233252107,37.5732551494
"16278",서남환경공원.마곡청구아파트,126.8223399033,37.5731636451
"16279",방화동도시개발2단지아파트,126.8190701473,37.5732399378
"16280",방화동도시개발2단지아파트,126.8189421686,37.5733744252
"16283",방화동동부센트레빌아파트,126.8138665566,37.5733872956
"16284",방화동동부센트레빌아파트,126.8141952043,37.5734531055
"16285",방화사거리,126.8104761433,37.5731502632
"16286",방화사거리,126.8098923718,37.5731678891
"16287",개화산역,126.8060766199,37.5725186644
"16288",개화산역,126.8060894388,37.5726084539
"16291",등촌3동천주교회,126.8457257696,37.5598737042
"16292",등촌3동천주교회,126.8459318439,37.5600014489
"16293",등촌3동5단지아파트.등촌고등학교,126.8454863202,37.5616607856
"16294",등촌3동5단지아파트.등촌고등학교,126.8455711338,37.5617579634
"16295",등촌3동주공4단지아파트,126.8430663655,37.5624969962
"16296",등촌동부영아파트,126.8431050679,37.5626073253
"16297",등촌3동주공10단지아파트,126.8473221266,37.5620068390
"16298",등촌3동대림아파트,126.8473823577,37.5622911678
"16301",마곡13단지힐스테이트아파트,126.8178844144,37.5566726976
"16302",다솔마을.강서농수산물도매시장,126.8198598397,37.5548319923
"16303",강서공업고등학교,126.8166736017,37.5756174127
"16304",방화동도시개발1.2단지아파트,126.8168880824,37.5751326868
"16305",서울항공비즈니스고등학교,126.8167650193,37.5695180187
"16306",서울항공비즈니스고등학교,126.8165338805,37.5689573418
"16307",공항중학교,126.8164113958,37.5634467983
"16308",공항중학교.마곡엠밸리9단지,126.8166019600,37.5625730643
"16309",양천향교역,126.8408530625,37.5669812836
"16321",방신전통시장,126.8127047208,37.5700665252
"16322",방화주유소,126.8125856145,37.5666851049
"16326",제과점앞,126.8098897521,37.5604505635
"16327",공항동천주교회,126.8115926615,37.5574754799
"16328",강서한방병원,126.8390322230,37.5301185757
"16329",강서한방병원,126.8393326259,37.5300755925
"16330",강서한강자이아파트,126.8501010370,37.5663904051
"16332",강서구청별관,126.8599303664,37.5612766080
"16339",우장산동주민센터,126.8416545979,37.5479283301
"16340",문성유치원,126.8444517194,37.5468621438
"16341",우장산투웨니퍼스트오피스텔,126.8458177692,37.5471602948
"16342",가양7단지상가,126.8615689627,37.5607186992
"16344",등촌주공9단지,126.8505325745,37.5611521295
"16345",강서구민올림픽체육센터,126.8501413782,37.5598234828
"16346",등촌주공6단지,126.8489349790,37.5603199287
"16347",등현초등학교,126.8470218886,37.5611598223
"16348",가양7단지상가앞,126.8618951029,37.5607471891
"16350",우장산휴먼빌아파트,126.8434733563,37.5474322909
"16351",우장산동주민센터,126.8415087396,37.5479990852
"16352",양서1단지우장산아이파크이편한세상,126.8369118260,37.5480176180
"16361",우장산파크빌,126.8451161106,37.5466026951
"16364",강서힐스테이트아파트,126.8369627985,37.5479391113
"16366",등촌주공6단지앞,126.8488750074,37.5602047570
"16367",강서구민올림픽체육센터,126.8503283737,37.5599047633
"16368",등촌9단지SBS공개홀,126.8507957940,37.5617903895
"16369",가양4.5단지상가앞,126.8526928502,37.5638799427
"16373",삼정그린코아아파트,126.8117710939,37.5716275318
"16374",강서농협,126.8128207480,37.5679043769
"16375",강서농협,126.8127267340,37.5678978468
"16376",서울방화초등학교,126.8050822152,37.5681886875
"16378",공항동주민센터,126.8106239570,37.5587867250
"16379",천주교성당,126.8123311800,37.5560265616
"16385",마곡나루역4번출구.서울식물원,126.8280138696,37.5650334606
"16386",마곡나루역5번출구.서울식물원,126.8273168224,37.5650671182
"16387",마곡역교차로,126.8284496878,37.5594562610
"16388",이대서울병원,126.8345732722,37.5588296452
"16389",김포공항국내선,126.8040921416,37.5588100118
"16390",김포공항국내선,126.8046650292,37.5583164445
